ST,Year,Paid Licenses Holders,Resident Licenses,Non-Resident Licenses,Total Licenses,Gross Cost
PR,2021,7362.00,2151.00,11.00,2162.00,85686.00
RI,1970,19604.00,19234.00,370.00,19604.00,57542.00
RI,1971,18544.00,20495.00,449.00,20944.00,70394.00
RI,1972,18037.00,20302.00,421.00,20723.00,68607.00
RI,1973,15682.00,17948.00,496.00,18444.00,60844.00
RI,1974,19177.00,18720.00,637.00,19357.00,66349.00
RI,1975,17336.00,19871.00,725.00,20596.00,69890.00
RI,1976,16235.00,18814.00,764.00,19578.00,66627.00
RI,1977,15676.00,18111.00,822.00,18933.00,64783.00
RI,1978,14931.00,17244.00,887.00,18131.00,63630.00
RI,1979,14630.00,17788.00,653.00,18441.00,65495.00
RI,1980,13352.00,16336.00,769.00,17105.00,97596.00
RI,1981,13192.00,16688.00,869.00,17557.00,100197.00
RI,1982,13286.00,17610.00,853.00,18463.00,124195.00
RI,1983,12810.00,17778.00,862.00,18640.00,118840.00
RI,1984,12935.00,18394.00,888.00,19282.00,125374.00
RI,1985,13310.00,17024.00,970.00,17994.00,34830.00
RI,1986,13956.00,18028.00,1020.00,19048.00,119523.00
RI,1987,13245.00,16701.00,1168.00,17869.00,154869.00
RI,1988,13318.00,20082.00,1340.00,21422.00,182192.00
RI,1989,13372.00,20245.00,1354.00,21599.00,183692.00
RI,1990,12782.00,20062.00,1480.00,21542.00,183798.00
RI,1991,13352.00,23465.00,1692.00,25157.00,212298.00
RI,1992,12875.00,29926.00,2555.00,32481.00,251387.00
RI,1993,13938.00,31420.00,2703.00,34123.00,273279.00
RI,1994,13329.00,30250.00,2676.00,32926.00,252264.00
RI,1995,13352.00,31133.00,3192.00,34325.00,262089.00
RI,1996,13082.00,23747.00,3667.00,27414.00,270080.00
RI,1997,13196.00,29740.00,3928.00,33668.00,268000.00
RI,1998,12675.00,31157.00,3289.00,34446.00,282574.00
RI,1999,11704.00,32005.00,2895.00,34900.00,280527.00
RI,2000,11484.00,32017.00,2615.00,34632.00,285961.00
RI,2001,12285.00,31829.00,3651.00,35480.00,335278.00
RI,2002,10750.00,29270.00,3553.00,32823.00,296574.00
RI,2003,10691.00,30995.00,2881.00,33876.00,476179.00
RI,2004,10750.00,29270.00,3553.00,32823.00,296574.00
RI,2005,10691.00,30995.00,2881.00,33876.00,476179.00
RI,2006,9302.00,31124.00,2864.00,33988.00,460313.00
RI,2007,8940.00,28615.00,3024.00,31639.00,444453.00
RI,2008,9075.00,31677.00,2951.00,34628.00,466700.00
RI,2009,9075.00,31677.00,2951.00,34628.00,466700.00
RI,2010,9075.00,31677.00,2951.00,34628.00,466700.00
RI,2011,8858.00,0.00,0.00,0.00,0.00
RI,2012,8798.00,7520.00,1278.00,8798.00,144197.00
RI,2013,8605.00,7150.00,1455.00,8605.00,175352.00
RI,2014,8551.00,7606.00,1419.00,9025.00,433729.00
RI,2015,8624.00,29516.00,4356.00,33872.00,500979.00
RI,2016,8978.00,7469.00,1509.00,8978.00,526112.00
RI,2017,8797.00,29007.00,4193.00,33200.00,518916.00
RI,2018,8209.00,26515.00,4388.00,30903.00,483576.00
RI,2019,7414.00,25962.00,3967.00,29929.00,441226.00
RI,2020,7208.00,23081.00,3609.00,26690.00,407485.00
RI,2021,7514.00,49019.00,4705.00,53724.00,741785.00
SC,1970,183529.00,172653.00,10876.00,183529.00,1056339.00
SC,1971,193938.00,181485.00,12453.00,193938.00,1147020.00
SC,1972,177657.00,200688.00,12982.00,213670.00,1238864.00
SC,1973,189617.00,215669.00,14193.00,229862.00,1374788.00
SC,1974,202599.00,235030.00,16673.00,251703.00,1526521.00
SC,1975,212559.00,251471.00,19220.00,270691.00,1659906.00
SC,1976,211855.00,248869.00,20603.00,269472.00,1686650.00
SC,1977,215920.00,253232.00,24503.00,277735.00,1790321.00
SC,1978,218743.00,262549.00,24602.00,287151.00,2022441.00
SC,1979,228296.00,263126.00,39547.00,302673.00,2366900.00
SC,1980,222319.00,269663.00,28712.00,298375.00,2161972.00
SC,1981,219071.00,270514.00,33369.00,303883.00,2299387.00
SC,1982,204206.00,250336.00,34343.00,284679.00,3170232.00
SC,1983,207648.00,241423.00,37701.00,279124.00,3257307.00
SC,1984,200371.00,227807.00,39783.00,267590.00,3247368.00
SC,1985,201602.00,321808.00,44403.00,366211.00,3430007.00
SC,1986,201899.00,228097.00,46408.00,274505.00,3473863.00
SC,1987,177268.00,229943.00,29719.00,259662.00,4878253.00
SC,1988,185807.00,220859.00,32746.00,253605.00,5050238.00
SC,1989,196764.00,228495.00,36346.00,264841.00,5395868.00
SC,1990,190621.00,212115.00,36899.00,249014.00,5328747.00
SC,1991,196690.00,218335.00,38689.00,257024.00,5504652.00
SC,1992,205997.00,222337.00,41285.00,263622.00,5736271.00
SC,1993,208553.00,221164.00,45420.00,266584.00,5895658.00
SC,1994,214086.00,222150.00,47921.00,270071.00,6157853.00
SC,1995,217351.00,213498.00,52030.00,265528.00,6392315.00
SC,1996,219049.00,215593.00,52640.00,268233.00,6528701.00
SC,1997,223123.00,215498.00,55921.00,271419.00,6748302.00
SC,1998,224207.00,211782.00,57417.00,269199.00,6751045.00
SC,1999,263045.00,208937.00,57560.00,266497.00,6702225.00
SC,2000,258706.00,203088.00,60553.00,263641.00,7010658.00
SC,2001,277691.00,205735.00,58906.00,264641.00,7381057.00
SC,2002,279203.00,207379.00,58527.00,265906.00,7359442.00
SC,2003,272752.00,200487.00,58856.00,259343.00,7282978.00
SC,2004,279203.00,207379.00,58527.00,265906.00,7359441.50
SC,2005,211605.00,200487.00,58856.00,259343.00,7282978.00
SC,2006,210136.00,404917.00,52493.00,457410.00,8137508.00
SC,2007,220126.00,424365.00,55600.00,479965.00,8667808.00
SC,2008,199540.00,469286.00,48487.00,517773.00,7517908.00
SC,2009,205059.00,484848.00,50512.00,535360.00,7826729.00
SC,2010,204445.00,509188.00,49344.00,558532.00,7791890.00
SC,2011,223008.00,521272.00,46524.00,567796.00,7588376.00
SC,2012,234457.00,557687.00,80479.00,638166.00,8674126.95
SC,2013,173942.00,340005.00,59381.00,399386.00,5910342.00
SC,2014,204837.00,368894.00,59632.00,428526.00,7896347.00
SC,2015,206397.00,363765.00,59672.00,423437.00,7961337.00
SC,2016,212461.00,376666.00,57377.00,434043.00,8151485.00
SC,2017,212621.00,709031.00,93706.00,802737.00,9847396.00
SC,2018,210369.00,722055.00,92230.00,814285.00,9717318.00
SC,2019,200912.00,703738.00,88971.00,792709.00,8671786.00
SC,2020,181820.00,983087.00,115268.00,1098355.00,10816831.00
SC,2021,208843.00,893226.00,107735.00,1000961.00,9976825.00
SD,1970,143273.00,259258.00,38634.00,297892.00,1315498.00
SD,1971,151337.00,280455.00,44976.00,325431.00,1392976.00
SD,1972,165651.00,321309.00,62684.00,383993.00,1743724.00
SD,1973,170696.00,309638.00,64983.00,374621.00,1791547.00
SD,1974,190990.00,331271.00,86917.00,418188.00,2183963.00
SD,1975,176850.00,334559.00,63874.00,398433.00,1944372.00
SD,1976,148176.00,298450.00,36888.00,335338.00,1810599.00
SD,1977,127953.00,296404.00,29374.00,325778.00,1704658.00
SD,1978,127807.00,335634.00,30880.00,366514.00,1926431.00
SD,1979,139732.00,342318.00,36340.00,378658.00,2103389.00
SD,1980,142733.00,348890.00,46556.00,395446.00,2300256.00
SD,1981,161524.00,346769.00,66581.00,413350.00,3525544.00
SD,1982,168873.00,302411.00,80435.00,382846.00,3745864.00
SD,1983,167703.00,354090.00,108845.00,462935.00,4568522.00
SD,1984,174542.00,377041.00,125324.00,502365.00,5229694.00
SD,1985,164347.00,363640.00,124845.00,488485.00,5162294.00
SD,1986,167819.00,370916.00,128560.00,499476.00,5383143.00
SD,1987,145541.00,376582.00,95082.00,471664.00,4645383.00
SD,1988,161727.00,344250.00,116644.00,460894.00,4775982.00
SD,1989,149713.00,391085.00,108915.00,500000.00,5329196.00
SD,1990,145823.00,374587.00,101005.00,475592.00,5767232.00
SD,1991,147977.00,376387.00,102862.00,479249.00,5877769.00
SD,1992,164855.00,367860.00,82324.00,450184.00,6111986.00
SD,1993,179870.00,417761.00,59445.00,477206.00,7567035.00
SD,1994,187730.00,430015.00,67274.00,497289.00,8334802.00
SD,1995,210130.00,446471.00,87761.00,534232.00,9662167.00
SD,1996,217394.00,350894.00,85854.00,436748.00,8724337.00
SD,1997,214133.00,348490.00,86063.00,434553.00,8760340.00
SD,1998,184837.00,323065.00,60333.00,383398.00,8586670.00
SD,1999,204599.00,327535.00,81522.00,409057.00,10308607.00
SD,2000,228209.00,240306.00,94104.00,334410.00,13878799.00
SD,2001,217007.00,242693.00,97477.00,340170.00,14357560.00
SD,2002,216152.00,247222.00,100706.00,347928.00,15020114.00
SD,2003,207973.00,244101.00,104602.00,348703.00,15365201.00
SD,2004,216152.00,247222.00,100706.00,347928.00,15020114.00
SD,2005,207973.00,244101.00,104602.00,348703.00,15365201.00
SD,2006,232053.00,254561.00,115666.00,370227.00,16723210.00
SD,2007,243123.00,260033.00,127131.00,387164.00,17901593.00
SD,2008,239419.00,265645.00,132134.00,397779.00,20369527.00
SD,2009,248495.00,279219.00,138922.00,418141.00,21712899.00
SD,2010,259159.00,290009.00,149528.00,439537.00,23023162.00
SD,2011,256191.00,293922.00,147342.00,441264.00,22881108.00
SD,2012,251655.00,288150.00,144177.00,432327.00,22413492.00
SD,2013,253512.00,283405.00,147147.00,430552.00,22480991.00
SD,2014,246315.00,273746.00,141178.00,414924.00,21659602.00
SD,2015,244182.00,264338.00,138034.00,402372.00,20799163.00
SD,2016,221979.00,281236.00,119468.00,400704.00,20608230.00
SD,2017,223394.00,240639.00,122165.00,362804.00,21055005.00
SD,2018,233215.00,245474.00,128502.00,373976.00,22061719.00
SD,2019,229323.00,244044.00,124596.00,368640.00,21891862.00
SD,2020,212736.00,241443.00,111896.00,353339.00,20405234.00
SD,2021,213786.00,241059.00,115902.00,356961.00,20947496.00
TN,1970,423187.00,572009.00,10939.00,582948.00,1833310.00
TN,1971,441402.00,604186.00,12013.00,616199.00,1949950.00
TN,1972,455305.00,618311.00,14240.00,632551.00,2012560.00
TN,1973,483434.00,680734.00,15660.00,696394.00,3362185.00
TN,1974,519485.00,725444.00,17985.00,743429.00,3672477.00
TN,1975,519783.00,754794.00,19130.00,773924.00,3841634.00
TN,1976,483867.00,726693.00,24037.00,750730.00,5127711.00
TN,1977,483539.00,731743.00,24195.00,755938.00,5070989.00
TN,1978,483978.00,753422.00,27747.00,781169.00,2475455.00
TN,1979,509014.00,784149.00,31386.00,815535.00,5644275.00
TN,1980,515621.00,809753.00,26170.00,835923.00,5902493.00
TN,1981,575818.00,885787.00,23542.00,909329.00,4365186.00
TN,1982,573842.00,779156.00,10001.00,789157.00,5469586.00
TN,1983,541617.00,800772.00,11201.00,811973.00,5766335.00
TN,1984,551890.00,807569.00,10454.00,818023.00,5844591.00
TN,1985,592693.00,824204.00,12137.00,836341.00,6208146.00
TN,1986,584273.00,960764.00,16743.00,977507.00,8648909.00
TN,1987,603846.00,916767.00,15957.00,932724.00,7109952.00
TN,1988,582038.00,905568.00,16331.00,921899.00,7242841.00
TN,1989,598616.00,907119.00,16443.00,923562.00,7273107.00
TN,1990,600413.00,918953.00,17974.00,936927.00,8303054.00
TN,1991,587802.00,965980.00,43363.00,1009343.00,10304946.00
TN,1992,602465.00,951923.00,39494.00,991417.00,10854990.00
TN,1993,571756.00,868616.00,31369.00,899985.00,10858815.00
TN,1994,591839.00,876996.00,32582.00,909578.00,11438264.00
TN,1995,599935.00,893515.00,34543.00,928058.00,12075215.00
TN,1996,585304.00,871085.00,34425.00,905510.00,12310032.00
TN,1997,600117.00,875515.00,35265.00,910780.00,13017768.00
TN,1998,595605.00,855671.00,37886.00,893557.00,12879975.00
TN,1999,613654.00,805872.00,37598.00,843470.00,122695430.00
TN,2000,631580.00,803867.00,39540.00,843407.00,14158985.00
TN,2001,626978.00,1049981.00,35788.00,1085769.00,13275659.00
TN,2002,725110.00,1094149.00,37301.00,1131450.00,13411397.00
TN,2003,727525.00,946477.00,37513.00,983990.00,13505126.00
TN,2004,725110.00,1094149.00,37301.00,1131450.00,13411397.00
TN,2005,727525.00,946477.00,37513.00,983990.00,13505126.00
TN,2006,730495.00,1261792.00,40485.00,1302277.00,13960929.00
TN,2007,775511.00,1052115.00,41710.00,1093825.00,16681793.00
TN,2008,780053.00,686318.00,38920.00,725238.00,16367643.00
TN,2009,667606.00,784988.00,47956.00,832944.00,18365550.00
TN,2010,671120.00,735592.00,47523.00,783115.00,17578362.00
TN,2011,700621.00,716015.00,40221.00,756236.00,17697586.00
TN,2012,698993.00,691529.00,39872.00,731401.00,17249737.00
TN,2013,530547.00,659098.00,37920.00,697018.00,16861196.00
TN,2014,566507.00,686146.00,34274.00,720420.00,17517015.00
TN,2015,727229.00,717304.00,40055.00,757359.00,17392725.00
TN,2016,734733.00,744567.00,41194.00,785761.00,17936537.00
TN,2017,717256.00,742020.00,43006.00,785026.00,19339796.00
TN,2018,700600.00,696906.00,40267.00,737173.00,20720183.00
TN,2019,679038.00,580955.00,43710.00,624665.00,20082370.00
TN,2020,684364.00,646743.00,65560.00,712303.00,20908618.00
TN,2021,694458.00,722305.00,66774.00,789079.00,15916654.00
TX,1970,760351.00,952734.00,13429.00,966163.00,2585557.00
TX,1971,795446.00,995949.00,14845.00,1010794.00,2708380.00
TX,1972,783103.00,983774.00,15261.00,999035.00,2681610.00
TX,1973,822968.00,1060021.00,18089.00,1078110.00,2938404.00
TX,1974,841701.00,1086990.00,18915.00,1105905.00,4830668.00
TX,1975,853250.00,1105250.00,19908.00,1125158.00,4875047.00
TX,1976,855729.00,1103358.00,23151.00,1126509.00,4952687.00
TX,1977,845463.00,1084455.00,25817.00,1110272.00,4981272.00
TX,1978,867345.00,1106161.00,21164.00,1127325.00,5826291.00
TX,1979,879233.00,1109925.00,22162.00,1132087.00,5831450.00
TX,1980,939267.00,1169301.00,24593.00,1193894.00,6199900.00
TX,1981,963719.00,1197704.00,24719.00,1222423.00,6314663.00
TX,1982,1011549.00,1380853.00,27675.00,1408528.00,7569913.00
TX,1983,1050496.00,1425390.00,28588.00,1453978.00,7542231.00
TX,1984,986707.00,1336611.00,25890.00,1362501.00,9618240.00
TX,1985,1100550.00,1285973.00,23418.00,1309391.00,9061804.00
TX,1986,1130630.00,1336583.00,19376.00,1355959.00,11978466.00
TX,1987,1190075.00,1416303.00,20278.00,1436581.00,12710666.00
TX,1988,1202781.00,1438116.00,26934.00,1465050.00,13797239.00
TX,1989,1189077.00,1441947.00,31505.00,1473452.00,14280642.00
TX,1990,1138011.00,1370455.00,33389.00,1403844.00,13962529.00
TX,1991,1105389.00,1325786.00,34036.00,1359822.00,13681905.00
TX,1992,1045858.00,1409008.00,37811.00,1446819.00,17891430.00
TX,1993,1081582.00,1453541.00,45165.00,1498706.00,18735777.00
TX,1994,1072347.00,1447987.00,50527.00,1498514.00,19238563.00
TX,1995,1064803.00,1477523.00,49079.00,1526602.00,19459199.00
TX,1996,1040938.00,1446364.00,47209.00,1493573.00,19491193.00
TX,1997,942359.00,1199169.00,47251.00,1246420.00,23570980.00
TX,1998,975943.00,1193636.00,54136.00,1247772.00,23798654.00
TX,1999,978837.00,1183461.00,55072.00,1238533.00,24234375.00
TX,2000,983485.00,1178177.00,59957.00,1238134.00,25060544.00
TX,2001,1020674.00,1206072.00,60995.00,1267067.00,26271973.00
TX,2002,1027908.00,1205905.00,60198.00,1266103.00,26439898.00
TX,2003,1039327.00,1225481.00,65235.00,1290716.00,28126610.00
TX,2004,1027908.00,1205905.00,60198.00,1266103.00,26439898.00
TX,2005,1039327.00,1225481.00,65235.00,1290716.00,28126610.00
TX,2006,1073847.00,1225635.00,69025.00,1294660.00,34302678.00
TX,2007,1039709.00,1370035.00,74329.00,1444364.00,36499640.00
TX,2008,1005226.00,1435884.00,76699.00,1512583.00,37196956.00
TX,2009,1012446.00,1461787.00,77324.00,1539111.00,37900386.00
TX,2010,1020779.00,1516381.00,79703.00,1596084.00,38467137.00
TX,2011,1024520.00,1401741.00,72228.00,1473969.00,39372737.00
TX,2012,1020227.00,1373023.00,69334.00,1442357.00,41354920.00
TX,2013,1036946.00,1401543.00,72453.00,1473996.00,40485651.00
TX,2014,1020105.00,1383735.00,66477.00,1450212.00,39245925.00
TX,2015,1060455.00,1467901.00,69530.00,1537431.00,41125300.00
TX,2016,1132099.00,1537950.00,73392.00,1611342.00,43089088.00
TX,2017,1148765.00,1566049.00,75555.00,1641604.00,44117970.00
TX,2018,1157779.00,1575985.00,79358.00,1655343.00,46217763.00
TX,2019,1162430.00,1589078.00,85597.00,1674675.00,46922156.00
TX,2020,1120620.00,1651798.00,88304.00,1740102.00,46886984.00
TX,2021,1094753.00,1617322.00,86692.00,1704014.00,46478896.00
UT,1970,201870.00,208159.00,20395.00,228554.00,1926362.00
UT,1971,240367.00,250155.00,23041.00,273196.00,2319928.00
UT,1972,230582.00,239204.00,29795.00,268999.00,2547171.00
UT,1973,254134.00,267823.00,33144.00,300967.00,3045304.00
UT,1974,261884.00,302664.00,41219.00,343883.00,4659639.00
UT,1975,233247.00,261058.00,17397.00,278455.00,2672436.00
UT,1976,230322.00,255479.00,15297.00,270776.00,2594957.00
UT,1977,234442.00,262274.00,14882.00,277156.00,2892823.00
UT,1978,227037.00,278439.00,13879.00,292318.00,3109391.00
UT,1979,250104.00,310858.00,14962.00,325820.00,3499272.00
UT,1980,287596.00,365754.00,15996.00,381750.00,4064331.00
UT,1981,239459.00,305018.00,11282.00,316300.00,5598120.00
UT,1982,246336.00,318577.00,13220.00,331797.00,5004333.00
UT,1983,251808.00,325083.00,15666.00,340749.00,5363130.00
UT,1984,232545.00,291324.00,17391.00,308715.00,5270039.00
UT,1985,230075.00,294666.00,23824.00,318490.00,6686319.00
UT,1986,217881.00,293880.00,24049.00,317929.00,7176347.00
UT,1987,224096.00,285379.00,20624.00,306003.00,6553296.00
UT,1988,236710.00,308909.00,23989.00,332898.00,7297355.00
UT,1989,231125.00,303662.00,26232.00,329894.00,7541635.00
UT,1990,230268.00,339892.00,28170.00,368062.00,8441979.00
UT,1991,233596.00,339708.00,33931.00,373639.00,8556632.00
UT,1992,233436.00,401365.00,27559.00,428924.00,8980216.00
UT,1993,204814.00,452791.00,29292.00,482083.00,8888303.00
UT,1994,164107.00,378239.00,10382.00,388621.00,6947256.00
UT,1995,166838.00,394929.00,19198.00,414127.00,9336894.00
UT,1996,212829.00,381531.00,12829.00,394360.00,8448414.00
UT,1997,191745.00,454375.00,16344.00,470719.00,9650330.00
UT,1998,196818.00,416379.00,26633.00,443012.00,10469164.00
UT,1999,190092.00,375328.00,19090.00,394418.00,10709788.00
UT,2000,171710.00,327117.00,18225.00,345342.00,9498647.00
UT,2001,167393.00,253628.00,14478.00,268106.00,11533577.00
UT,2002,159678.00,217128.00,13025.00,230153.00,10225741.00
UT,2003,154884.00,226437.00,11636.00,238073.00,10750245.00
UT,2004,159678.00,217128.00,13025.00,230153.00,10225741.00
UT,2005,154884.00,226437.00,11636.00,238073.00,10750245.00
UT,2006,153501.00,230299.00,12402.00,242701.00,10953575.00
UT,2007,148849.00,221328.00,10573.00,231901.00,11142967.00
UT,2008,157217.00,254291.00,13221.00,267512.00,11614989.85
UT,2009,157217.00,254291.00,13221.00,267512.00,11614990.00
UT,2010,165033.00,276354.00,16341.00,292695.00,12005639.00
UT,2011,207232.00,332941.00,41269.00,374210.00,13657156.00
UT,2012,212378.00,346814.00,39377.00,386191.00,14135270.00
UT,2013,211863.00,347695.00,37337.00,385032.00,13974652.00
UT,2014,206666.00,336106.00,34144.00,370250.00,13536213.00
UT,2015,207331.00,334205.00,33322.00,367527.00,13876849.00
UT,2016,217471.00,348648.00,37755.00,386403.00,14983238.00
UT,2017,226225.00,372226.00,38242.00,410468.00,15510824.00
UT,2018,236656.00,379805.00,41036.00,420841.00,16762036.00
UT,2019,244131.00,404413.00,44425.00,448838.00,17412147.00
UT,2020,249765.00,405834.00,47775.00,453609.00,18074717.00
UT,2021,250565.00,405303.00,50260.00,455563.00,19508104.00
VA,1970,410206.00,777545.00,57396.00,834941.00,2134185.00
VA,1971,421752.00,816615.00,63352.00,879967.00,2268492.00
VA,1972,436615.00,849261.00,69075.00,918336.00,2393856.00
VA,1973,453521.00,890940.00,64226.00,955166.00,2600246.00
VA,1974,478961.00,959186.00,68472.00,1027658.00,2828544.00
VA,1975,429713.00,846044.00,64084.00,910128.00,4206744.00
VA,1976,416332.00,840177.00,66794.00,906971.00,4235418.00
VA,1977,443741.00,834979.00,68041.00,903020.00,4239095.00
VA,1978,449176.00,838760.00,69037.00,907797.00,4286236.00
VA,1979,455193.00,846208.00,73906.00,920114.00,4395279.00
VA,1980,469597.00,855934.00,75400.00,931334.00,4477162.00
VA,1981,445083.00,802031.00,65918.00,867949.00,6141160.00
VA,1982,451082.00,813045.00,67495.00,880540.00,6178695.00
VA,1983,462009.00,822845.00,70574.00,893419.00,6321718.00
VA,1984,457159.00,807486.00,69302.00,876788.00,6191351.00
VA,1985,457990.00,799253.00,69309.00,868562.00,6148065.00
VA,1986,459582.00,825265.00,73620.00,898885.00,6618379.00
VA,1987,477188.00,852190.00,77896.00,930086.00,6869977.00
VA,1988,517008.00,926144.00,81767.00,1007911.00,7523351.00
VA,1989,412013.00,857261.00,33427.00,890688.00,9610465.00
VA,1990,439738.00,848860.00,36305.00,885165.00,10448042.00
VA,1991,397243.00,810243.00,34440.00,844683.00,10100129.00
VA,1992,380544.00,882082.00,37928.00,920010.00,11064320.00
VA,1993,370898.00,848074.00,39030.00,887104.00,11173410.00
VA,1994,356653.00,858439.00,40366.00,898805.00,11437343.00
VA,1995,352778.00,873581.00,41175.00,914756.00,11636838.00
VA,1996,340397.00,865562.00,42441.00,908003.00,11568832.00
VA,1997,331559.00,831786.00,45383.00,877169.00,11560476.00
VA,1998,323459.00,803438.00,45040.00,848478.00,11253498.00
VA,1999,317939.00,786044.00,45481.00,831525.00,11129908.00
VA,2000,315070.00,766525.00,46465.00,812990.00,11035079.00
VA,2001,315402.00,766300.00,47206.00,813506.00,11026150.00
VA,2002,314748.00,774910.00,48213.00,823123.00,11170083.00
VA,2003,304605.00,763282.00,50598.00,813880.00,11198884.00
VA,2004,314748.00,774910.00,48213.00,823123.00,11170083.00
VA,2005,304605.00,763282.00,50598.00,813880.00,11198884.00
VA,2006,317484.00,766583.00,50637.00,817220.00,11247707.00
VA,2007,317239.00,742489.00,49020.00,791509.00,10878718.00
VA,2008,309942.00,743825.00,51002.00,794827.00,11158884.00
VA,2009,318993.00,744018.00,50997.00,795015.00,11159081.00
VA,2010,307995.00,754081.00,48445.00,802526.00,14910326.00
VA,2011,307642.00,761976.00,48683.00,810659.00,14801100.00
VA,2012,304206.00,741418.00,48416.00,789834.00,14522222.00
VA,2013,300764.00,769656.00,47120.00,816776.00,15871529.00
VA,2014,292863.00,774742.00,44109.00,818851.00,19025387.00
VA,2015,276660.00,786778.00,43414.00,830192.00,26079622.00
VA,2016,282132.00,799238.00,44185.00,843423.00,27098108.00
VA,2017,277281.00,795697.00,44201.00,839898.00,27722661.00
VA,2018,276019.00,815464.00,44611.00,860075.00,21304227.00
VA,2019,268300.00,789170.00,43029.00,832199.00,21221871.00
VA,2020,261416.00,781960.00,43124.00,825084.00,21279813.00
VA,2021,254517.00,776242.00,42686.00,818928.00,22420830.00
VT,1970,138378.00,116583.00,47957.00,164540.00,1389163.00
VT,1971,148282.00,135103.00,53307.00,188410.00,1594986.00
VT,1972,128843.00,107076.00,41485.00,148561.00,1230034.00
VT,1973,143949.00,120695.00,49642.00,170337.00,1409742.00
VT,1974,159378.00,133248.00,54248.00,187496.00,1556630.00
VT,1975,141766.00,121303.00,46853.00,168156.00,1904910.00
VT,1976,131512.00,114057.00,42711.00,156768.00,1732932.00
VT,1977,132789.00,114878.00,44223.00,159101.00,1785890.00
VT,1978,152682.00,111869.00,42355.00,154224.00,1806416.00
VT,1979,122180.00,129713.00,37923.00,167636.00,1803579.00
VT,1980,137386.00,155216.00,43646.00,198862.00,2134858.00
VT,1981,129277.00,158066.00,33588.00,191654.00,2553040.00
VT,1982,138965.00,128846.00,31182.00,160028.00,1949893.00
VT,1983,117261.00,108893.00,25165.00,134058.00,1600233.00
VT,1984,133989.00,108904.00,25085.00,133989.00,1852805.00
VT,1985,143441.00,118333.00,25108.00,143441.00,2300693.00
VT,1986,117705.00,96592.00,21113.00,117705.00,1791726.00
VT,1987,109877.00,90496.00,19381.00,109877.00,1687997.00
VT,1988,113320.00,92167.00,21153.00,113320.00,2125011.00
VT,1989,113554.00,117282.00,17997.00,135279.00,1987797.00
VT,1990,109938.00,115582.00,27085.00,142667.00,2291359.00
VT,1991,110864.00,126650.00,25494.00,152144.00,3084549.00
VT,1992,107162.00,131302.00,26090.00,157392.00,2696757.00
VT,1993,108580.00,132203.00,27415.00,159618.00,2747846.00
VT,1994,103942.00,129711.00,24566.00,154277.00,2588984.00
VT,1995,100810.00,139207.00,24340.00,163547.00,2777417.00
VT,1996,96318.00,143566.00,23775.00,167341.00,2797370.00
VT,1997,94247.00,148567.00,22402.00,170969.00,2758589.00
VT,1998,97000.00,164758.00,24697.00,189455.00,3000286.00
VT,1999,103629.00,178104.00,29723.00,207827.00,3773874.00
VT,2000,101687.00,194550.00,29836.00,224386.00,3825103.00
VT,2001,96093.00,179916.00,25539.00,205455.00,3420354.00
VT,2002,92138.00,168989.00,23319.00,192308.00,3711690.00
VT,2003,90110.00,164924.00,21865.00,186789.00,3418595.00
VT,2004,92138.00,168989.00,23319.00,192308.00,3711690.00
VT,2005,90110.00,164924.00,21865.00,186789.00,3418595.00
VT,2006,86512.00,150749.00,19931.00,170680.00,3749295.25
VT,2007,81265.00,137569.00,17027.00,154596.00,3617165.00
VT,2008,83708.00,147470.00,18113.00,165583.00,3805123.00
VT,2009,84044.00,154254.00,18710.00,172964.00,3913269.50
VT,2010,84044.00,154254.00,18710.00,172964.00,3913269.50
VT,2011,83681.00,168252.00,19816.00,188068.00,4375476.00
VT,2012,82307.00,171712.00,20023.00,191735.00,4454487.00
VT,2013,80650.00,169429.00,19812.00,189241.00,4343881.00
VT,2014,74966.00,154025.00,18326.00,172351.00,3837278.00
VT,2015,72930.00,165923.00,17857.00,183780.00,3860543.00
VT,2016,74219.00,162806.00,15937.00,178743.00,3858833.00
VT,2017,71807.00,161221.00,16207.00,177428.00,4035349.00
VT,2018,69943.00,153476.00,15852.00,169328.00,3965555.00
VT,2019,67619.00,162299.00,16510.00,178809.00,4044104.00
VT,2020,64788.00,161332.00,16991.00,178323.00,4016039.00
VT,2021,62237.00,166813.00,16988.00,183801.00,4089276.00
WA,1970,336652.00,672841.00,3106.00,675947.00,2976169.00
WA,1971,334786.00,685148.00,3322.00,688470.00,3166358.00
WA,1972,299841.00,719976.00,1643.00,721619.00,3684765.00
WA,1973,311881.00,731785.00,1624.00,733409.00,3747969.00
WA,1974,330371.00,824746.00,2321.00,827067.00,2684131.00
WA,1975,346197.00,836878.00,2604.00,839482.00,5190099.00
WA,1976,322649.00,797897.00,4280.00,802177.00,5264792.00
WA,1977,330517.00,813943.00,4662.00,818605.00,5351603.00
WA,1978,344923.00,827799.00,7449.00,835248.00,5569825.00
WA,1979,358363.00,872729.00,7424.00,880153.00,5890043.00
WA,1980,360684.00,885046.00,8397.00,893443.00,5952151.00
WA,1981,369632.00,886621.00,7397.00,894018.00,5867014.00
WA,1982,338993.00,812603.00,7554.00,820157.00,7792777.00
WA,1983,311155.00,753330.00,5280.00,758610.00,7981799.00
WA,1984,307704.00,741153.00,7088.00,748241.00,8973682.00
WA,1985,298193.00,692878.00,5562.00,698440.00,8643586.00
