Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0.99,1.1,0.96,4.99,0.29,0.07,-0.05,-0.29,3.28,-2.61,0.53,-0.98
1979,0.12,0.77,0.35,0.52,-0.83,-1.27,0.71,4.24,-1.41,0.17,0.54,-0.71
1980,3.77,1.65,0.41,-0.4,2.52,1.66,1.97,-0.41,1.22,-1.01,-1.37,-1.9
1981,-1.83,-2.17,0.35,-1.72,0.98,-2.38,-1.48,-1.17,-0.81,2.27,3.34,2.65
1982,1.08,-0.1,1.87,1.19,-0.66,2.03,2.35,0.29,5.19,2.78,1.91,1.67
1983,1.26,1.62,4.27,2.74,1.44,2.6,1.46,6.28,2.08,0.63,4.52,7.92
1984,-0.5,1.13,0.38,1.32,0.39,1.95,3.01,1.39,-0.11,3.28,3.42,-0.46
1985,-1.14,0.02,1.74,-1.82,-1.56,-2.36,-0.62,-0.72,3.02,-0.4,4.03,0.29
1986,-1.57,6.1,-0.16,0.86,0.41,-0.64,-0.31,-0.5,2.16,-1.29,-2.33,-2.76
1987,-1.81,-1.07,0.46,-2.34,2.71,-0.43,-0.1,-0.94,-1.8,-0.89,0.15,-0.05
1988,0.62,-2,-1.67,1.24,-0.76,-0.88,-1.15,-0.57,-0.72,-2.96,3.8,0.63
1989,-0.29,0.27,1.35,-2.12,0.36,-0.57,-1.38,1.17,1.98,0.26,-0.6,-2.71
1990,-1.79,-0.5,-1.84,0.04,0.1,-1.8,-0.29,0.68,-0.67,-1.83,-1.18,-1.2
1991,-2.49,-3.56,2.89,1.03,2.96,0.67,0.19,0.16,0.32,0.01,-0.23,-1.41
1992,-2.58,-2.41,-1.93,-3.94,-5.51,-1.93,-1.12,-0.51,-1,0.25,-0.27,2.03
1993,3.52,1.7,0.72,0.19,-0.48,2.99,1.59,0.82,-0.69,0.83,-0.92,-1.35
1994,-2.86,-0.3,-2.37,-0.6,0.03,-2.81,-2,-1.43,-0.46,-0.59,4.14,0.94
1995,3.83,-1.8,4.63,2.73,6,4.94,4.73,-0.09,-1.11,-1.98,-2.83,3.16
1996,3.15,2.62,0.97,0.57,2.24,1.35,0.92,-0.45,-0.71,0.28,0.54,4.39
1997,5.13,-0.61,-2.23,0.76,-1.41,2.15,1.18,-0.55,0.01,-0.79,-0.68,-1.11
1998,0.58,3.24,2.23,2.16,7.55,6.03,5.71,-0.33,5.38,0.61,1.6,-0.72
1999,1.09,0.97,-1.29,0.9,-0.71,0.33,-0.66,0.58,-1.43,-1.3,-2.8,-2.59
2000,1.12,1.5,0.14,-0.49,-0.18,-2.07,-1.78,-0.82,-0.02,2.61,-0.19,-1.54
2001,-1.13,-0.85,-1.55,0.39,-4.07,-3.36,-0.67,-1.27,-0.72,-2.14,1.46,1.81
2002,0.23,-0.4,-0.28,-0.15,-1.33,-1.52,-1.22,-1.07,-0.79,-1.51,0.53,-0.09
2003,-2.17,-1.59,-1.06,2.33,-0.04,-2.52,-0.98,2.06,-0.68,-2.87,0.66,2.23
2004,-0.39,1.5,-3.21,-2.27,-1.48,-1.91,-1.18,0.88,-0.55,3.66,1.37,-0.16
2005,1.29,-0.3,0.46,1,4.64,1.05,0.93,-1.05,-0.52,-0.21,0.04,4.79
2006,3.74,1.46,2.38,5.3,0.91,-0.11,-0.83,-1.13,-1.32,-0.81,-0.2,-0.99
2007,-2.32,-0.51,-3.14,-1.49,-3.59,-2.92,-2.24,-1.11,0.47,0.9,-1.64,-0.2
2008,0.58,-0.04,-1.31,-1.38,0.74,-1.54,-1.18,-1.38,-1.45,-1.41,-0.58,0
2009,-0.91,-1.39,-0.27,0.1,-2.04,2.85,-0.53,-0.19,-1.86,1.14,-1.57,-0.09
2010,-0.03,-0.72,-0.6,2.76,1.98,-0.11,-0.06,-0.38,-0.88,4.95,0.71,3.78
2011,-1.21,0.42,3.7,2.51,2.21,2.2,1.54,-0.63,-1.27,-0.35,-1.29,-2.8
2012,-0.93,-2.26,-0.59,-1.23,-3.14,-2.97,-1.84,-1.06,-1.47,-1.2,-1.67,3.23
2013,-0.77,-1.66,-2.79,-1.73,-1.24,-2.22,-0.97,-0.53,1.11,0.11,-1.51,-1.99
2014,-3.3,-1.17,-0.35,-1.7,-2.04,-3.27,-0.96,1.18,1.8,-1.97,0.22,0.82
2015,-2.54,-2.22,-4.42,-1.05,1.75,-1.76,2.13,-0.45,-1.27,1.68,2.57,2.16
2016,2.49,-1.76,0.08,-0.21,1.07,-1.45,-1.66,-1.32,-0.94,3.82,-2.01,2.63
2017,-1.54,-1.23,4.32,1.26,2.71,-0.5,-0.72,-1.22,-1.69,-0.46,-0.07,0.68
2018,1.23,6.9,2.84,1.27,2.55,-0.71,-0.87,-0.52,1.64,-0.82,-1.6,1.07
2019,1.17,6.82,2.83,0.5,3.95,1.19,0.67,-0.53,1.59,-0.8,-1.63,1.23
